@relation SpamClsfyTesting

@attribute emailClass {spam,'no spam','?'}
@attribute emailMessage string

@data
spam,'An important client of mine whose\r\n  details and person I cannot release at this point has implored me to\r\n  contact a reliable and trustworthy partner overseas to urgently\r\n  receive and handle funds total FIFTEEN MILLION US DOLLARS(US$15.M)in\r\n  CASH presently lodged in a security/finance outfit in overseas. Due\r\n  to my client inability to travel out of the country presently and the\r\n  fact that we continue to accumulate huge debts daily as long as this\r\n  consignment remains in the security/finance company we need an\r\n  associate and partner to proceed as soon as possible to receive this\r\n  funds for investment purpose as shall be instructed by my client. We\r\n  have agreed in principle to give twenty-percent (25\%) of the total\r\n  sum\r\n  to whom ever shall handle this funds for us while the remaining\r\n  sixty-five percent (65\%)shall be for my client and ten-percent (10\%)\r\n  for me as the attorney. As soon as you are ready to proceed to\r\n  receive\r\n'
spam,'We want to transfer to overseas\r\naccount($126,000.000.00 USD) One hundred and twenty\r\nsix million United States Dollars) from a Prime Bank\r\nin Africa,I want to ask you to  quietly  look for a\r\nreliable and honest person who will be capable and fit\r\nto provide either an existing bank account or to set\r\nup a new Bank a/c immediately to receive this money,\r\neven an empty a/c can serve to receive this money, as\r\nlong as you will remain honest to me till the end for\r\nthis important business trusting in you and believing \r\nin God that you  will never let me down either now or\r\nin future.\r\n \r\nWe will start the  first transfer with twenty six\r\nmillion [$26,000.000] upon successful transaction\r\nwithout any disappoint from your side, we shall\r\nre-apply for the payment of the remaining  rest\r\namount to your account. \r\n\r\nAt the conclusion of this business, you will be given\r\n35\% of the total amount, 60\% will be for me, while\r\n5\% will be for expenses both parties might have\r\nincurred during the process of transferring.\r\n'
'no spam','http://www.swaroopch.info/archives/2006/07/16/map-perl-india/\r\n\r\nYou can read this book online at http://safari.oreilly.com/0596003137 \r\n\r\nPerl Cookbook, 2nd Edition\t\r\nBOOK: Perl Cookbook, 2nd Edition\r\nby Tom Christiansen, Nathan Torkington\r\nPublisher: O\'Reilly\r\nPub Date: August 2003\r\nISBN: 0-596-00313-7\r\nPages: 964\r\nSlots: 1.0\r\nStart Reading\r\nBuy Print Version\r\nTable of Contents\r\n| Index\r\nOverview\r\n\r\nFind a Perl programmer, and you\'ll find a copy of Perl Cookbook\r\nnearby. Perl Cookbook is a comprehensive collection of problems,\r\nsolutions, and practical examples for anyone programming in Perl. The\r\nbook contains hundreds of rigorously reviewed Perl \"recipes\" and\r\nthousands of examples ranging from brief one-liners to complete\r\napplications.\r\n\r\nThe second edition of Perl Cookbook has been fully updated for Perl\r\n5.8, with extensive changes for Unicode support, I/O layers, mod_perl,\r\nand new technologies that have emerged since the previous edition of\r\nthe book. Recipes have been updated to include the latest modules. New\r\nrecipes have been added to every chapter of the book, and some\r\nchapters have almost doubled in size.\r\n\r\nCovered topic areas include:\r\n\r\n*\r\n\r\nManipulating strings, numbers, dates, arrays, and hashes\r\n*\r\n\r\nPattern matching and text substitutions\r\n*\r\n\r\nReferences, data structures, objects, and classes\r\n*\r\n\r\nSignals and exceptions\r\n*\r\n\r\nScreen addressing, menus, and graphical applications\r\n*\r\n\r\nManaging other processes\r\n*\r\n\r\nWriting secure scripts\r\n*\r\n\r\nClient-server programming\r\n*\r\n\r\nInternet applications programming with mail, news, ftp, and telnet\r\n*\r\n\r\nCGI and mod_perl programming\r\n*\r\n\r\nWeb programming\r\n\r\nSince its first release in 1998, Perl Cookbook has earned its place in\r\nthe libraries of serious Perl users of all levels of expertise by\r\nproviding practical answers, code examples, and mini-tutorials\r\naddressing the challenges that programmers face. Now the second\r\nedition of this bestselling book is ready to earn its place among the\r\nranks of favorite Perl books as well.\r\n\r\nWhether you\'re a novice or veteran Perl programmer, you\'ll find Perl\r\nCookbook, 2nd Edition to be one of the most useful books on Perl\r\navailable. Its comfortable discussion style and accurate attention to\r\ndetail cover just about any topic you\'d want to know about. You can\r\nget by without having this book in your library, but once you\'ve tried\r\na few of the recipes, you won\'t want to.\r\n'
'no spam','Hiii anna,\r\n\r\nHere is my research paper which is selected for the ACM conference, just wanted to share it with you my implementation details are clearly specified in the paper.'
'no spam','Recalibrate Your Reality\r\n\r\nBy Thorin Klosowski\r\nWish you were better/smarter/stronger/faster? Sure, hard work helps, but the truth is, your self perception may be getting in the way. We all form our own realities, and those realities aren\'t perfect. Your self perception can be very limiting, and shaking up your notion of the world can do wonders for your productivity, creativity, and happiness. Here\'s how to recalibrate your reality.\r\n\r\nRemember the last time you lost confidence after your boss was disappointed in your work—or maybe you were stood up by a friend? You second-guessed yourself after that, and ultimately your work or personal life suffered. The idea behind recalibrating your reality is pretty simple. When you get locked into a view of the world you get stuck in routines and you lose sight of different viewpoints. Recalibrating that view can help you solve problems, win arguments, and even be happier. But how do we actually do it? We\'ll take a look at a few of the different methods you can use to recalibrate your perception of the world and yourself, but first, we have to understand how we perceive the world to begin with.\r\n\r\nThe Basics of How We Perceive the World\r\n\r\nTo get a grasp on how we perceive the world, I talked with David Eagleman, neuroscientist at the Baylor College of Medicine and author of Incognito: The Secret Lives of the Brain and Timothy Wilson, psychologist at the University of Virginia and author of Redirect: The Surprising New Science of Psychological Chance.\r\n\r\nIn a literal sense, you can\'t perceive much more of the world than you already do. You only perceive what you really need in order to survive. David Eagleman explains:\r\n\r\nWe open our eyes and we think we\'re seeing the whole world out there. But what has become clear—and really just in the last few centuries—is that when you look at the electro-magnetic spectrum we are seeing less than 1/10 Billionth of the information that\'s riding on there. So we call that visible light. But everything else passing through our bodies is completely invisible to us.\r\n\r\nEven though we accept the reality that\'s presented to us, we\'re really only seeing a little window of what\'s happening. There\'s so many examples of this, but one that\'s interesting to third-graders, but also neuroscience is optical illusions. [Illusions demonstrate] that these really simple things that you think are going on in front of you are not actually representing physical reality but instead your brain is constructing something.\r\n\r\nOur construction of reality shapes and alters our view of the physical world. It also limits our cognitive ability because we weigh our views more importantly than others. Mr. Wilson explains:\r\n\r\nA lot of this happens unconsciously. We don\'t know how much we\'re interpreting. The world presents itself like it\'s reality and we don\'t know how much we\'ve already filtered that. There\'s a psychologist name Lee Brosan who calls this naive realism. We perceive the world as real, but we\'re doing a lot of spinning as the information comes in. He talks about it as a real impediment when we\'re in an argument because each person sees the world as real and thinks the other must be crazy or deliberately trying to destroy things when in fact they\'re just trying to bring their own expectations and facts to the table.\r\n\r\nRecognizing this limited view is the first step. David Eagleman describes this as the umwelt: the assumption that our reality is the only reality out there. He suggests the first thing we have to do is recognize our umwelt.\r\n\r\nThe key is when you appreciate the umwelt it gives you intellectual humility. You realize that even though you assume this is reality, there is so much you\'re not seeing and so much that\'s a part of other people\'s reality. The usefulness is recognizing this humility when making a hypothesis.\r\n\r\nRecognizing our own umwelt can help us recalibrate our version of reality and start looking at the world in a new and different way. Most of us can\'t do this by flipping a switch and require some exercises to get our brains into the habit of looking through other perspectives before making choices. Let\'s look at some of the ways you can utilize and act on this idea. Photo by neuroticcamel.\r\n\r\nHow to Alter Your Larger Outlook\r\n\r\nOne of the biggest reasons to recalibrate your reality is to attempt to expand your world outlook outside of yourself to help you become a better communicator and expand your problem solving ability. This is easier said than done. Let\'s look at ways you can actually implement it in your day.\r\n\r\nWait Five Minutes Before Your Respond\r\n\r\n\r\nOne regret most of us have is our stupid responses during debates or heated arguments. To help cure that and give yourself time to think, 37signals author Jason Fried suggests a simple approach: give it five minutes. He describes a situation where he was arguing with a speaker at a conference who eventually offered him this advice:\r\n\r\nHe said \"Man, give it five minutes.\" I asked him what he meant by that? He said, it\'s fine to disagree, it\'s fine to push back, it\'s great to have strong opinions and beliefs, but give my ideas some time to set in before you\'re sure you want to argue against them. \"Five minutes\" represented \"think\", not react. He was totally right. I came into the discussion looking to prove something, not learn something.\r\n\r\nMany arguments don\'t offer the luxury of a five minute response, but others, like email, social networks, or even conferences, give you plenty of time to formulate your response and recalibrate your reality before you say something stupid. Simply letting ideas settle in will inevitably force you to reconsider your own viewpoints, weigh them against your own, and give you an opportunity to come up with a better response. Photo by Valentina Powers.\r\n\r\nForce Yourself to Think from Alternate Points of View in Monotonous Situations\r\n\r\nIt\'s not all about making yourself better at arguing a point. It can also be used as a form of stress relief for daily annoyances. In his commencement speech given to the graduating class at Kenyon University in 2005, author David Foster Wallace talked about the dangers of self-centered worldview and the importance of disrupting our \"default setting\" and views of the world by considering other options.\r\n\r\nHis suggestion is pretty simple. When you get annoyed at a situation or another person, think about why you would do what they\'re doing. For example, if you\'re in the checkout line and a woman smacks her kid, consider how you would end up in that situation. Alternately, if someone cuts you off in traffic, imagine why (or even when) you\'ve done the same thing. Putting yourself in that mindset can change your view of a situation. As Wallace points out, doing this on a regular basis disrupts your default-setting and makes you more conscious of the world around you.\r\n\r\nWrite Out Your Day From Another Point of View\r\n\r\nIn his book, Mr. Wilson talks about the importance of writing things down as a means to understand different perspectives and one way to do that is to take a look at your day—whether that\'s work, your creative life, or happiness—from the third person. He explains:\r\n\r\nSome researchers have developed a method where they say, if something is nagging at us, write about it in the third person so we can look at it as objectively as we can as opposed to immersing ourselves in a negative experience. That kind of distance can be really helpful to change our story and to look at it in a new way and give new meaning to it.\r\n\r\nI think I try to do this sometimes. I remind myself that my interpretation of something is just that—an interpretation. It\'s not the only way. Sometimes it\'s good to to look at a situation the opposite way as an exercise.\r\n\r\nIt might make you feel a little like Bob Dole for a minute, but writing out your day from a different point of view will give you a unique perspective of your situation and can help you pinpoint where a problem is.\r\n\r\nThis isn\'t just about altering your view of the rest of the world though, it\'s also useful to recalibrate your perception of yourself. Let\'s see how you can do it. Photo by vtsr.\r\n\r\nAlter Your Perception of Self to Expand Your Notions of the World\r\n\r\nAs we\'ve seen above, we see the world through our own set of filters, but changing and recognizing those filters isn\'t too difficult. More difficult is editing your self-perception in order to change how you view the world. It\'s a bit difficult to imagine changing your own view, but here\'s a few ways you can do it.\r\n\r\nEdit Your Own Story\r\n\r\nOne of the central themes in Mr. Wilson\'s book is the idea that you unconsciously form your own narratives that frame the world and shape your sense of reality. Like any story, these narratives can be edited with a technique he calls story-editing.\r\n\r\nThe goal of story-editing is to change your personal interpretations of yourself and the social world to make yourself happier. One way Mr. Wilson suggests doing this is using the Pennebaker Writing Exercise. The process is pretty simple.\r\n\r\nFind a quiet, private place to write.\r\nCommit to writing about a problem for fifteen minutes a day for three consecutive days.\r\nEach time your write about a stress or problem, you reveal more and can subsequently edit your version of the story and understand it more. It\'s the same premise as five minute idea mentioned above. The writing exercise creates a self-assessment of your view and helps you consider other sides of a problem. This helps you interpret yourself differently in the social world and can provide insight into how you umwelt affects your decisions, creativity, and productivity.\r\n\r\nChange How You Present Yourself\r\n\r\nNew research from Northwestern University suggests that you may be influenced by how you present yourself. The researchers call this \"enclothed cognition\" and theorizes that clothes have an effect not just on how you\'re seen by the world, but also how you see yourself. Basically, you can alter your self-perception and subsequently your reality by wearing different clothes.\r\n\r\nThe research doesn\'t prove anything yet. Instead, it suggests that our clothes have an impact on how we view ourselves. As an experiment on yourself, outfit yourself differently for a day and take note of how people perceive you how you perceive yourself. Does wearing a tie make you feel like more of an adult? Does a uniform change the way you view work? When your self-perception is changed, so is your view of reality.\r\n\r\nTry on a Different Personality for an Hour\r\n\r\nThe idea of trying on a new personality might seem a little strange if you do it around friends and family, but doing so on a short flight or even in with a random conversation on the bus is an experience that completely alters your reality. It\'s also surprisingly easy to do. Mr. Wilson offers his experience:\r\n\r\nThe idea of trying on a new self can be a fun exercise. So, you\'re on a train or a plane and you\'re chatting with the person next to you and you just try on a new personality. For example, I tend to be a bit more on the introverted side and I often wish I was a little more talkative and socially skilled at parties and things. And that\'s something you can change if you practice it. So sometimes I\'ll just say, I\'m going to be an extrovert. And you know, I\'ll never be Mr. Extrovert, but it\'s amazing how easy it can be if you just try to adopt a different trait.\r\n\r\nI tried this idea myself. As a bit of an introvert, I tried on an extrovert hat while doing some work in a coffee shop one night. To my surprise, simply telling myself, \"I\'m an extrovert for the next two hours,\" actually made me more forthcoming to the person who was clearly trying to ignore me at the next table. It also gave me an idea of the difference in perception between an extrovert and an introvert. Where I typically would go to a coffee shop to work quietly in the corner, I took a seat closer to someone and actually engaged with them. I did this all automatically after I decided I was an extrovert and it wasn\'t until I looked back on it that I realized my seating choice and disposition was influenced by the conscious choice I made earlier. Photo by Strangeinterlude.\r\n\r\nCreate Hiccups in Your Physical Reality to Recalibrate Your Views\r\n\r\nOne of the problems of falling into a set notion of the world is that we stop being mindful of the world around us and that closes our perception even more. In a lot of ways it\'s a good thing, because it\'s a great boon to productivity to not have to give cognitive thought to a lot of our daily actions, but it\'s still good to change your world slightly now and again. It\'s easy to do and can have a surprising effect.\r\n\r\nRearrange Your Home Environment to See New Things\r\n\r\nRearranging your home is an oddly relaxing way to explore your own dwelling and take a good look at the reality you form. Over years of living in an apartment or house, objects get hidden away, pictures you meant to hang get stuffed in storage, and you get so relaxed in the world you create that you don\'t spend any time paying attention to it.\r\n\r\nYou don\'t have to completely redo your living room or go out and buy anything. It is as simple as taking down the art on your walls and rearranging them in new places. You could even consider flipping a room to offer a different perspective. The goal is to provide that cognitive bump in the road so that when you walk into your house you\'re forced to reassess the situation slightly and take the time to actually think about what you\'re seeing.\r\n\r\nTake Different Routes and Find New Areas to Explore\r\n\r\nLike the rearranging of your furniture, taking alternate routes is about expanding your reality into something larger and breaking your routine enough to cause you to pause. This doesn\'t mean you have to take a new way to work every day, but it might mean taking a different street to the grocery store or jogging along a different path. When you break your routine, you move away from your reality and take in another section of the world. Photo by Frank Tobia.\r\n\r\nThe end goal of recalibrating your reality is to expand your perception so you can make your life better and more interesting. The above methods can be used to work through creative blocks, problem solve issues at work, and even to deal with minor traumatic events. Once you recognize the umwelt and the embrace the idea that your perception is limited, it opens up all types of new ideas. Do you do things to recalibrate your notion of reality? Share them in the comments.'
'no spam','Hey,\r\n\r\nSorry I was busy with the comprehensive exam and a conference.\r\n\r\nI will be free after saturday.\r\n'
'no spam','LinuxBasics Course\r\n\r\nAn Introduction to Linux Basics\r\n\r\nLinuxBasic.org offers our second free Linux class, An Introduction to\r\nLinux Basics.\r\n\r\nLinux can certainly be used as a Desktop without much understanding of\r\nhow it works. This course is designed to give a foundation of\r\nunderstanding of Linux to a beginner who wants to know a little more\r\nabout the system. More advanced Linux users will find an opportunity\r\nto dig deeper into some areas they always wanted to know more about or\r\ndiscover gaps in their knowledge that they didn\'t know existed.\r\n\r\nWe will use LBook, our own edited version of \"Introduction to Linux: A\r\nHands on Guide\" by Machtelt Garrels, as a study guide. We are excited\r\nabout using this guide which is under the GNU Free Documentation\r\nLicense–meaning we can revise it. As we study this guide, we will\r\nupdate it together. We also intend to make an Answer Key for the\r\nexercises in the guide.\r\n\r\nOur heartfelt thanks go to Machtelt Garrels for creating the original\r\nguide and also to you who will join us in studying and revising it for\r\nthe LinuxBasics.org community.\r\n\r\nWhen, Where, How, and How Long\r\n\r\nThe class is set to begin on October 19, 2006. There 11 chapters and\r\nan Intro in the guide. We will spend more than a week on most chapters\r\nand anticipate the class running for about 6 months. A Schedule will\r\nbe posted.\r\n\r\nClass members will read the section for the week and do the exercises\r\nat the end of the chapters. Relevant questions and comments may then\r\nbe discussed on the mailing list; so you will need to join that in\r\norder to participate. See Mailing List page for information.\r\n\r\nWe encourage you to introduce yourself on the list at the beginning of\r\nthe class. If you don\'t begin until after October 19, join the list,\r\nintroduce yourself and start with the first week\'s section. There is\r\nno rush to catch up to where others may be. You are free to discuss\r\nwherever you are in the guide or other Linux-related matters on the\r\nlist.\r\n\r\nHow much does it cost? Basic requirements\r\n\r\nThis course is free (as in free beer). However, a goodwill\r\ncontribution in the form of active participation, revisions,\r\nsuggestions or ideas would be appreciated.\r\n\r\nBasic requirements are a desire to learn, to do reasonable footwork\r\n(reading the material, googling the topics at times, gathering\r\ninformation on your own system), to respect fellow learners, and to\r\nfollow netetiquette. This course being more specifically targeted to\r\nbeginners, there aren\'t really that many requirements. However, keep\r\nin mind that questions will range from very basic to more advanced.\r\nBeginners will have to be bold and ask the questions they have at\r\ntheir level (there are no stupid questions) and not be intimidated by\r\nmore advanced questions from more advanced users who are learning too.\r\nMore advanced users will have to \"remember when\", as they once were\r\nintroduced themselves to Linux, and hopefully contribute answers to\r\nbasic questions as well as more advanced ones.\r\n\r\n«You do not need to be a computer-wiz or a unix-guru to answer\r\nquestions on the list. Sometimes it is enough to be just 5 minutes\r\nahead of others to help them out.» (Quote from LBo -\r\nhttp://www.linuxbasics.org/mailinglist/start)\r\n\r\nRevising the Guide\r\n\r\nLBook along with all of LinuxBasics.org is on a wiki. If you wish to\r\nrevise something, you may first need to check out You Can Help in the\r\nHelp Section. You may also contribute by giving your suggestions and\r\nideas to us on the mailing list or send them to\r\nTheCrew@LinuxBasics.org.'
spam,'After due deliberation with my colleagues, I havedecided to forward\r\nto you this business proposal. We want a reliable person who could\r\nassist us to transfer the sum of Twenty Million Five Hundred Thousand\r\nUnited States Dollars ( $20,500,000 ) into his / her account.This\r\nfund resulted by way of gratification from a contract awarded by us\r\nunder the budget allocation to my Ministry and this bill has been\r\napproved for payment by the concerned Ministries. The contract has\r\nsince been executed, commissioned and the contractor company, paid\r\noff.We are left with the balance of US$20.5M which was given to us by\r\nthe company for influencing the contract in their favour amidst heavy\r\ncompetition from rival companies.But under our protocol division,\r\ncivil servants are forbidden to operate or own foreign accounts. \r\n\r\nConsequent upon your acceptance of this proposal, kindly confirm your interest by Telephone to me, through my\r\nTel No:234-1-7759334 Or Email:ogbemudia@mail.com Your indication\r\nby revert Telephone to me of your sincere and serious interest will\r\nenable me send you the PROCEDURE FOR OPERATION. If my line is busy,\r\nplease keep trying you will surely get through.NOTE: In the event of\r\nyour inability to handle this transaction please inform us so that we\r\ncan look for another reliable person who can assist in this\r\nrespect.It might surprise you why we choose you and trusted you for\r\nthis transaction. Yes, we believe that good friends can be discovered\r\nand business like this can not be realised without trust.'
spam,'Consequently, my newly acquired properties were seized again and I had no\r\noption than to leave the country immediately to a neighboring west African\r\ncountry, where I met our Lord Jesus Christ and my life was totally\r\ntransformed. But before I left I was able to first move my money out of\r\nthe country. I had $10,500,000 (Ten Million, Five Hundred Thousand United\r\nStates Dollars) in my domiciliary account in Freetown. I had to move the\r\nmoney out of the Country through a very secret arranged channel, in a very\r\nunconventional method this was done by my friend an official at the\r\nSecurity Minting & Printing Company of my country. Presently, this money\r\nis in an Oversea Country, under the custody of a private security firm.'
'no spam','Your Weekly\r\nMumbai Meetup Calendar\r\n\r\nTrending Meetups near Mumbai\r\nListening and Speaking From The Heart (a 12 session series)\r\nWednesday, March 21, 2012 5:30 PM\r\nListening and Speaking From The Heart: An Exploration through open discussion. A series of twelve sessions. Every Wednesday from 5.30 to 7.30 pm from 21st March to 13th June 2012...\r\nWho\'s coming?\r\n   \r\n3 Inner Explorers\r\na Meetup of: Basicindia Inner Explorers\r\n\r\nThis week near Mumbai\r\nNearby trending and recommended Meetups based on your interests:\r\nRed Hat, Linux, Red Hat Society, Open Source, Apache, Unix\t (edit your interests)\r\nWednesday, March 21\r\n? See full list of Meetups\r\nListening and Speaking From The Heart (a 12 session series)\r\nWednesday, March 21, 2012 5:30 PM\r\n3 Inner Explorers\r\na Meetup of:\r\nBasicindia Inner Explorers\r\nDidn\'t find a Meetup?\r\n- Browse all 3 upcoming Meetups near you\r\n- Browse the newest, largest or closest Meetups Groups\r\n- Update your interests so we can recommend the best Meetups for you'
