@relation SpamClsfyTraining

@attribute emailClass {spam,'no spam','?'}
@attribute emailMessage string

@data
spam,'This amount $21.5m represents the balance of the\r\ntotal contract value executed on behalf of my Department by a foreign\r\ncontracting firm, which we the officials over-invoiced deliberately.\r\n\r\nI have the authority of my partners involved to\r\npropose that should you be willing to assist us in\r\nthe transaction, your share of the sum will be 25\% of the $21.5 million, 70\%\r\nfor us and 5\% for taxation and\r\nmiscellaneous expenses. The business itself is 100\%\r\nsafe, on your part provided you treat it with utmost\r\nsecrecy and confidentiality.'
'no spam','A security vulnerability was recently discovered that made it possible for an attacker to add new SSH keys to arbitrary GitHub user accounts. This would have provided an attacker with clone/pull access to repositories with read permissions, and clone/pull/push access to repositories with write permissions. As of 5:53 PM UTC on Sunday, March 4th the vulnerability no longer exists.\r\n\r\nWhile no known malicious activity has been reported, we are taking additional precautions by forcing an audit of all existing SSH keys.\r\n\r\n# Required Action\r\n\r\nSince you have one or more SSH keys associated with your GitHub account you must visit https://github.com/settings/ssh/audit to approve each valid SSH key.\r\n\r\nUntil you have approved your SSH keys, you will be unable to clone/pull/push your repositories over SSH.\r\n\r\n# Status\r\n\r\nWe take security seriously and recognize this never should have happened. In addition to a full code audit, we have taken the following measures to enhance the security of your account:\r\n\r\n- We are forcing an audit of all existing SSH keys\r\n- Adding a new SSH key will now prompt for your password\r\n- We will now email you any time a new SSH key is added to your account\r\n- You now have access to a log of account changes in your Account Settings page'
spam,'With warm heart I offer my friendship, and my greetings,\r\nand I hope  this letter meets you in good time. It will\r\nbe surprising  to you to receive  this proposal from me\r\nsince you do not know me personally.\r\nHowever, I am sincerely seeking your confidence in\r\nthis transaction,  which I propose with my free mind\r\nand as a person of integrity.  My name is Owen Weah,\r\nthe first son of Phillip Weah Personal assistant to\r\nthe president Charles Taylor\r\n\r\nLiberia,a country in West Africa is presently torn\r\napart by strife and armed rebellion.These upheavals\r\nhave led to the intervention of the American\r\ngovernment which has insisted that the incumbent\r\npresident Charles Taylor,vacate his position and allow\r\nan international peacekeeping force to act as a\r\ntransitional government.\r\n\r\nThese monies amount to approximately (16. 500.000 million Euros)\r\nAdequate remuneration will be provided for services\r\nrendered by you.\r\n\r\nIt is important that you expedite action in this\r\ntransaction if you are interested, because time is of\r\nthe essence.Confidentiality is also of great\r\nimportance.'
'no spam','Hie,\r\n\r\nYa, you can pull the specifications from the website. I will let you know the Model Number so that you can look it up, I dont remember the exact series number (it was something like HP P7-1070 something...).\r\n\r\nLet me know if you need anything else.\r\n\r\nThank You'
spam,'This letter is not intended to cause any embarasment\r\nbut just to contact your esteem self for a bussiness\r\nassistance.I know that a bussiness of this maginitude\r\nwill make one worried, but i assure you all will be\r\nwell at the end of this transaction.\r\n\r\nI am Dr Kema Chikwe, the present Minister of\r\n\r\nThe US$25m ovrdraft will be shared depending\r\non your performance in the transaction, although 10\%\r\nwill be used to offset the bills encured during this\r\ntransaction and 20\% for your company.\r\n\r\nTo this end, contact me if you are interested and\r\nalways have it in mind that this is highly\r\nconfidential as I am still a practicing minister.\r\n\r\nLooking forward to hearing from you.\r\n'
spam,'First I must solicit your confidence in this transaction. This is by virtue\r\nof its nature as being\r\nutterly confidential and top secret. We shall be counting on your ability\r\nand reliability to\r\nprosecute a transaction of great magnitude involving a pending business\r\ntransaction\r\nrequiring\r\nmaximum confidence.\r\n\r\nWe have agreed to share the money thus:\r\n70\% for us (the officials)\r\n20\% for the FOREIGN PARTNER (you)\r\n10\% to be used in settling taxation and all local and foreign expenses.\r\n\r\nWe are looking forward to doing business with you and solicit your\r\nconfidentiality in this\r\ntransaction.\r\n'
'no spam','Hi!!\r\n     Find the attached Doc. of Java Interview Questions and Ensure that\r\nall  students make a hard copy of these documents.'
spam,'Mr. Claude Brian Best made a numbered time (Fixed) Deposit on \r\nJanuary 6, 1999, \r\nvalued at US$25,000,000.00 (Twenty- five Million Dollars), for twelve \r\n(12) calendar months in my branch.\r\nUpon maturity, I sent a routine notification to his forwarding address \r\nbut got no reply. \r\n\r\nThere is no risk at all as all the paperwork for this transaction would be \r\ndone by the attorney and my position as the Branch Manager \r\nguarantees the successful execution of this transaction.\r\nIf you are interested, please reply immediately via the private Fax or \r\nemail address below;\r\n\r\nolakola01@excite.com  . Private fax number: 234 1 7599511.\r\n\r\nUpon your response, I shall then provide you with more details and \r\nrelevant documents that will   \r\nhelp you understand the transaction. \r\n\r\nPlease observe utmost confidentiality, and rest assured that this \r\ntransaction would be most  profitable for both of us because I shall \r\nrequire your assistance to invest my share in your country.\r\n'
'no spam','Your Weekly\r\nMumbai Meetup Calendar\r\n\r\nTrending Meetups near Mumbai\r\nListening and Speaking From The Heart (a 12 session series)\r\nWednesday, March 21, 2012 5:30 PM\r\nListening and Speaking From The Heart: An Exploration through open discussion. A series of twelve sessions. Every Wednesday from 5.30 to 7.30 pm from 21st March to 13th June 2012...\r\nWho\'s coming?\r\n   \r\n3 Inner Explorers\r\na Meetup of: Basicindia Inner Explorers\r\n\r\nThis week near Mumbai\r\nNearby trending and recommended Meetups based on your interests:\r\nRed Hat, Linux, Red Hat Society, Open Source, Apache, Unix\t (edit your interests)\r\nWednesday, March 21\r\n? See full list of Meetups\r\nListening and Speaking From The Heart (a 12 session series)\r\nWednesday, March 21, 2012 5:30 PM\r\n3 Inner Explorers\r\na Meetup of:\r\nBasicindia Inner Explorers\r\nDidn\'t find a Meetup?\r\n- Browse all 3 upcoming Meetups near you\r\n- Browse the newest, largest or closest Meetups Groups\r\n- Update your interests so we can recommend the best Meetups for you'
spam,'Thank God, two weeks ago, I received Key Text Code\r\nfrom a Security Company abroad, that my late husband deposited U.S\r\n$45.5 Million cash with this company. It has therefore, become very\r\nnecessary and urgent to contact someone, a foreigner like you to\r\nhelp me receive/secure these funds overseas in a reliable bank Account\r\n(presumably an empty Bank Account, if available) and to help invest\r\nit on our behalf as well, while we find a way of getting out to meet\r\nwith you in your country.\r\n'
